## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_HDACi_S37_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_HDACi_S37_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:58:48 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1116	44653298	16857969	0	742	25488800	504344	0.570817	22205262

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
576.0	0	7	0	7
577.0	0	14	0	3
578.0	0	11	0	8
579.0	0	3	0	4
580.0	0	6	0	4
581.0	0	10	0	6
582.0	0	7	0	6
583.0	0	4	0	5
584.0	0	3	0	13
585.0	0	6	0	11
586.0	0	8	0	9
587.0	0	5	0	9
588.0	0	8	0	3
589.0	0	9	0	10
590.0	0	11	0	8
591.0	0	8	0	3
592.0	0	4	0	6
593.0	0	6	0	9
594.0	0	8	0	7
595.0	0	8	0	4
596.0	0	3	0	4
597.0	0	8	0	6
598.0	0	6	0	4
599.0	0	4	0	7
600.0	0	6	0	5
601.0	0	10	0	7
602.0	0	7	0	7
603.0	0	5	0	6
604.0	0	10	0	6
605.0	0	5	0	7
606.0	0	3	0	4
607.0	0	3	0	3
608.0	0	8	0	3
609.0	0	3	0	4
610.0	0	6	0	7
611.0	0	9	0	9
612.0	0	4	0	5
613.0	0	4	0	6
614.0	0	7	0	10
615.0	0	8	0	6
616.0	0	4	0	4
617.0	0	6	0	9
618.0	0	6	0	7
619.0	0	8	0	6
620.0	0	6	0	3
621.0	0	8	0	4
622.0	0	7	0	6
623.0	0	4	0	5
624.0	0	3	0	6
625.0	0	6	0	3
626.0	0	6	0	3
627.0	0	1	0	2
628.0	0	7	0	3
629.0	0	6	0	6
630.0	0	4	0	1
631.0	0	6	0	6
632.0	0	2	0	3
633.0	0	5	0	6
634.0	0	6	0	7
635.0	0	4	0	11
636.0	0	3	0	4
637.0	0	3	0	7
638.0	0	5	0	7
639.0	0	8	0	5
640.0	0	4	0	6
641.0	0	3	0	3
642.0	0	8	0	4
643.0	0	4	0	6
644.0	0	7	0	4
645.0	0	5	0	8
646.0	0	4	0	3
647.0	0	8	0	5
648.0	0	7	0	1
649.0	0	5	0	2
650.0	0	4	0	5
651.0	0	3	0	3
652.0	0	7	0	6
653.0	0	6	0	3
654.0	0	6	0	4
655.0	0	4	0	8
656.0	0	4	0	4
657.0	0	1	0	7
658.0	0	4	0	7
659.0	0	3	0	4
660.0	0	3	0	5
661.0	0	1	0	5
662.0	0	5	0	3
663.0	0	5	0	5
664.0	0	2	0	5
665.0	0	9	0	6
666.0	0	4	0	8
667.0	0	9	0	2
668.0	0	5	0	6
669.0	0	5	0	6
670.0	0	8	0	4
671.0	0	4	0	2
672.0	0	4	0	6
673.0	0	5	0	3
674.0	0	9	0	3
675.0	0	5	0	5
676.0	0	5	0	3
677.0	0	2	0	5
678.0	0	2	0	2
679.0	0	3	0	5
680.0	0	2	0	3
681.0	0	6	0	4
682.0	0	3	0	5
683.0	0	7	0	4
684.0	0	0	0	1
685.0	0	3	0	6
686.0	0	6	0	3
687.0	0	2	0	4
688.0	0	6	0	2
689.0	0	2	0	2
690.0	0	1	0	6
691.0	0	11	0	1
692.0	0	5	0	1
693.0	0	3	0	2
694.0	0	2	0	3
695.0	0	2	0	5
696.0	0	1	0	5
697.0	0	3	0	7
698.0	0	5	0	3
699.0	0	2	0	3
700.0	0	5	0	5
701.0	0	4	0	5
702.0	0	1	0	4
703.0	0	3	0	4
704.0	0	8	0	4
705.0	0	5	0	5
706.0	0	1	0	3
707.0	0	5	0	6
708.0	0	5	0	3
709.0	0	5	0	3
710.0	0	4	0	2
711.0	0	1	0	2
712.0	0	4	0	4
713.0	0	5	0	2
714.0	0	2	0	5
715.0	0	2	0	4
716.0	0	5	0	6
717.0	0	3	0	3
718.0	0	3	0	3
719.0	0	2	0	3
720.0	0	4	0	2
721.0	0	3	0	5
722.0	0	3	0	1
723.0	0	2	0	7
724.0	0	3	0	6
725.0	0	6	0	3
726.0	0	5	0	6
727.0	0	3	0	3
728.0	0	3	0	4
729.0	0	5	0	3
730.0	0	3	0	1
731.0	0	3	0	1
732.0	0	5	0	1
733.0	0	8	0	5
734.0	0	3	0	1
735.0	0	4	0	4
736.0	0	3	0	4
737.0	0	2	0	2
738.0	0	2	0	5
739.0	0	1	0	2
740.0	0	5	0	8
741.0	0	0	0	4
742.0	0	4	0	2
743.0	0	2	0	6
744.0	0	3	0	2
745.0	0	7	0	1
746.0	0	3	0	5
747.0	0	7	0	2
748.0	0	2	0	4
749.0	0	3	0	5
750.0	0	7	0	4
751.0	0	3	0	1
752.0	0	2	0	2
753.0	0	7	0	2
754.0	0	3	0	3
755.0	0	2	0	1
756.0	0	4	0	4
757.0	0	2	0	1
758.0	0	1	0	5
